time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
640,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
690,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
740,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
790,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
940,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1140,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1240,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1390,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1440,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1490,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1690,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2290,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2340,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2440,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2690,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2740,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8110,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8160,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8210,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8260,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8310,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8360,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8410,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8510,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8560,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8610,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8760,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8810,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8860,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8910,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8960,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9160,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9260,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9360,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9410,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9460,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9510,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9560,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9760,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9810,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9910,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10011,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10060,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10110,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10160,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10210,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10260,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10310,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
10360,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
10410,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
10460,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
10560,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
10610,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
10860,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
10910,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
10960,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11010,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11110,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11160,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11210,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11260,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11360,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11410,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11560,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
11610,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
11660,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
11760,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
11810,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
11860,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
11910,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12010,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12060,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12160,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12260,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12360,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12460,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12510,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12560,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12610,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12810,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12860,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12910,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12960,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13080,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
18030,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
18330,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
18380,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
18480,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
18580,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
18630,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
18830,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
18880,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
19180,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
19330,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
19380,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
19430,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
19530,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
19630,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
19881,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
20081,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
20130,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
20280,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
20430,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
20580,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
20630,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
20730,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
20780,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
20830,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
20880,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
21030,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
21130,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,7,2,1,1,0
21280,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,7,2,1,1,0
21330,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,7,2,1,1,0
21380,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,7,2,1,1,0
21430,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,7,2,1,1,0
21680,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,7,2,1,1,0
21780,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,7,2,1,1,0
21830,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,7,2,1,1,0
22330,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,0
22530,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,0
22730,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,0
22830,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,0
22980,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,0
23150,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,0
25050,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,5,2,1,1,0
28250,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
28550,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
28750,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
28850,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
28900,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
28950,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
29000,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
29200,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
29300,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
29650,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
29800,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
29850,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
29900,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
30000,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
30050,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
30100,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
30250,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
30300,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,9,2,1,1,1
30500,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
30550,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
30600,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
30700,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
30900,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
30950,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
31000,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
31100,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
31200,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
31300,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
31450,False,5.2,50,10,20,10,110,5000,10000,80,80,5000,8,2,2,1,1
