time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
2150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
4540,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
6060,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7590,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9500,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10050,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
10700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
10750,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
11050,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
11700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
11950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12500,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12550,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12750,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13200,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14500,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14750,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
14900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
15100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
15400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
15500,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
15600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
15700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
15850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
15900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
16000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
16050,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
16300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
16350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
16450,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
16500,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
16700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
16800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
16850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
16870,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
17100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
17300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
17350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
17500,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
17800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
17850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
18150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
18350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
18550,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
18650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
18800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
18850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
18900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19250,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19450,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
19850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
20100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
20200,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
20400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
20850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
21000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
21150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
21650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
22050,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
22100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
22200,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
22450,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
22550,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
22650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
22850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
22900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
22950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
23250,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
23300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
23350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
23400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
23650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
23900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
23950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,4,2,1,1,0
24800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
24900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
24950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
25000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
25300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
25400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
25550,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
25650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,0
25750,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
25950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26200,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26300,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26550,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
26950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
27000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
27050,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
27100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
27150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
27201,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,3,2,1,1,1
27370,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
27520,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
27570,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
27670,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
27770,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28020,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28120,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28270,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28420,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28470,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28520,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28570,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28620,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28670,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28770,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28870,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
28920,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29020,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29070,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29121,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29270,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29370,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29470,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29520,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29620,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29670,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29870,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29920,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
29970,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
30020,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
30120,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
30170,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
30220,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
30320,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,1,1,1
30420,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
30470,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
30620,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
30670,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
30720,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
30770,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
30870,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
30920,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
30970,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
31070,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
31270,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
31370,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
31420,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
31520,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
31570,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,6,2,2,1,1
31970,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,5,2,2,1,1
32070,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,5,2,2,1,1
32120,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,5,2,2,1,1
32170,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,5,2,2,1,1
32270,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,5,2,2,1,1
36540,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
37360,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
37430,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
37480,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
37680,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
37730,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
37780,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
37880,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
37980,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
38080,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
38130,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,9,2,2,1,1
38330,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,2,2,1,1
38530,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,2,2,1,1
38580,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,2,2,1,1
38730,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,2,2,1,1
39130,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,2,2,1,1
39180,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,2,2,1,1
39480,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,2,2,1,1
39770,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
39980,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
40030,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
40080,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
40530,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
40580,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
40680,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
40730,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
40880,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
40980,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
41080,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
41830,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
41980,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,3,1,1
42400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
42450,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
42700,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
42800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,1
42850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,1
42950,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,1
43000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,1
43100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,1
43150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,1
43600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,14,3,2,1,1
43650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
44100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
44150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
44250,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
44350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
44400,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,13,3,2,1,1
44500,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,2
44600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,2
44650,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,2
44800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,2
44850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,2,1,2
44900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,1,1,2
45100,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,1,1,2
45150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,1,1,2
45350,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,12,3,1,1,2
45500,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
45550,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
45600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
45800,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
45850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
46000,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
46150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
46200,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
46250,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
46450,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
46600,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
46850,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
46900,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
47150,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
47470,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
47620,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
47720,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
47870,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
48320,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
48420,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
48470,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
48620,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
48670,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,11,3,1,1,2
48970,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49120,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49170,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49270,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49320,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49370,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49420,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49520,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49670,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49770,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49920,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
49970,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
50020,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,1,1,2
50420,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
50470,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
50570,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
50670,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
50720,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
50770,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
50970,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
51120,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
51320,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
51420,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
51570,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
51620,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
51670,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
51720,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
51970,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
52020,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
52070,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
52370,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
52420,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
52570,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
52820,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,16,3,2,0,2
53270,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,15,3,2,0,2
54220,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,15,3,2,0,2
54570,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
55270,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
56220,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
56720,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
57790,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
57990,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
58040,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
58240,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
58290,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
58490,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
58540,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
58590,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,3,2,0,2
59140,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,4,2,0,2
59440,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,4,2,0,2
59540,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,20,4,2,0,2
59740,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,25,4,2,0,2
59790,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,28,4,2,0,2
60190,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,28,4,2,0,2
60390,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,28,4,2,2,2
60690,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,28,4,2,2,2
60840,False,5.4,50,10,20,10,110,5000,10000,80,80,5000,28,4,2,2,2
